Ticker,Bank,AI_Summary,Confidence,Theme_Tags,Citations,Retrieved_Chunk_Count,Structured_Ref_Count,Latest_Call_Report_Date,Latest_Assets,Latest_Deposits,Latest_Net_Income,Model,Device
SF,Stifel Financial Corp,"start-ups. Many of you have seen that we are in there very early. But I'll tell you, this company has pioneered AI, not just in predictive. A lot of you have followed the development and growth of Einstein. But also, you've seen that we published some of the first papers on prompt engineering and the beginnings of generative AI. And we took our deep learning roots, and we really demonstrated the potential for generative AI. And now, to see so many of these companies become so successful. I just",0.2,,SF_transcript_2024_Q2__sec_002__chunk_0011 | SF_transcript_2024_Q4__sec_003__chunk_0019 | SF_transcript_2024_Q4__sec_003__chunk_0005,6,8,20251231,924891,847138,29855,Qwen/Qwen2.5-1.5B-Instruct,mps
SNV,Synovus Financial Corp,"Synovus Financial Corp (SNV) says that they are investing in the bank of the future through automation, artificial intelligence, digital applications, and analytics. They have realized growth and efficiency gains as a result of current and past initiatives, but there is no guarantee that these initiatives will be successful in supporting growth or achieving the expected level of future savings and revenue enhancements. Additionally, any new service and product offerings could compete directly with other Synovus Bank product and service offerings. The development and use of artificial intelligence presents risks and challenges that may adversely impact the business. The legal and regulatory environment relating to AI is uncertain and rapidly evolving, and there may be changes in our implementation of AI technology and increase in our compliance costs and the risk.",1.0,"AI,Risk Management,Strategic Initiatives,Operational Efficiency,Customer Experience,Regulatory Compliance,Cybersecurity,Corporate Governance",SNV_10_k_SNV_10-K_2024_Q4__sec_010__chunk_0004 | SNV_10_k_SNV_10-K_2024_Q4__sec_010__chunk_0021 | SNV_def_14a_SNV_DEF14A_2024_Q4__sec_042__chunk_0000 | SNV_10_k_SNV_10-K_2024_Q4__sec_005__chunk_0000 | SNV_10_k_SNV_10-K_2024_Q4__sec_006__chunk_0004 | SNV_10_q_SNV_10-Q_2025_Q1__sec_058__chunk_0004,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
SOFI,"SoFi Technologies, Inc.","SOFI Technologies, Inc. (SOFI) says that they offer additional add-on technology solutions to support their clients and drive engagement, such as a conversational AI engine for customers of banks and financial institutions, and a real-time payment risk platform which employs AI and machine learning technology to enhance payment fraud mitigation strategies for financial customers. They also mention that they continue to leverage investments made to integrate their services and offerings to position the Technology Platform segment for diversified durable growth.",1.0,"AI integration,Technology Platform,Payment fraud mitigation,Engagement solutions,Durable growth",26881 | 26881 | 26881 | 26881 | 26881 | 26881 | 26881 | 26881,6,8,20251231,46568135,39706752,737386,Qwen/Qwen2.5-1.5B-Instruct,mps
SSB,SouthState Bank Corp,"● our ability to continue to integrate and realize the benefits of the merger between SouthState and Independent; ● our ability to grow or to manage our growth effectively; ● our ability to realize the benefits expected from strategic initiatives; ● our ability to adequately anticipate and respond to changes in market interest rates; ● the negative impact of inflation on our business and profitability; ● an increase in the cost of funds as a result of general economic conditions, FDIC insurance",0.2,,SSB_10_k_SSB_10-K_2025_Q4__sec_021__chunk_0000 | SSB_10_q_SSB_10-Q_2025_Q2__sec_143__chunk_0035 | SSB_10_k_SSB_10-K_2025_Q4__sec_024__chunk_0014,6,8,20251231,67179734,55223931,866549,Qwen/Qwen2.5-1.5B-Instruct,mps
STT,State Street Corp,"We operate in a highly competitive environment in all areas of our business globally. Our competitors include a broad range of financial institutions and servicing companies, including other custodial banks, deposit-taking institutions, investment management firms, insurance companies, mutual funds, broker/dealers, investment banks, benefits consultants, investment analytics businesses, business service and software companies, technology companies, data providers and information services firms.",0.2,,STT_10_k_STT_10-K_2024_Q4__sec_015__chunk_0000 | STT_10_k_STT_10-K_2025_Q4__sec_015__chunk_0000 | STT_10_q_STT_10-Q_2025_Q2__sec_009__chunk_0003,6,8,20251231,360681000,280582000,3025000,Qwen/Qwen2.5-1.5B-Instruct,mps
SYF,Synchrony Financial,"on both the consumers and businesses, there's no question this would be very bad for the economy."" SUMMARY Synchrony Financial ( SYF +2.95% ) reported record purchase volume in the quarter, with strengthening in co-brand, digital, and diversified purchase segments. Management disclosed that 97% of top 25 partner interest and fees are contractually renewed through 2028, and described substantial progress in scaling digital wallet initiatives. Outlook for 2026 targets mid-single-digit ending recei",0.2,,SYF_transcript_2025_Q4__sec_000__chunk_0004 | SYF_transcript_2025_Q2__sec_000__chunk_0002 | SYF_transcript_2025_Q4__sec_002__chunk_0005,6,8,20251231,112115000,83376000,3253000,Qwen/Qwen2.5-1.5B-Instruct,mps
TFC,Truist Financial Corp,"adversely affect the Company’s ability to conduct transactions, service the Company’s clients, manage the Company’s exposure to risk, or expand the Company’s business. Truist is heavily reliant on technology, and a failure to effectively anticipate, develop, and implement new technology could negatively impact our financial results, business, operations, or security. The financial services industry is undergoing rapid technological change with frequent introductions of new technology-driven prod",0.2,,TFC_10_k_TFC_10-K_2024_Q4__sec_092__chunk_0031 | TFC_transcript_2024_Q1__sec_003__chunk_0012 | TFC_10_k_TFC_10-K_2023_Q4__sec_093__chunk_0039,6,8,20251231,539519000,409427000,5537000,Qwen/Qwen2.5-1.5B-Instruct,mps
UMBF,Umb Financial Corp,"Umb Financial Corp (UMBF) says that their AI strategy is focused on enhancing their asset servicing business, particularly in AI Alternative Investments. They mention a strong profile and growth within major clients and a strong pipeline. The company also highlights the disruption in the AI space and the growth in the Healthcare sector. They invest in technology to remain technologically competitive and operationally efficient, and they also mention the reliance on technology to deliver products and services.",1.0,"AI Strategy,Asset Servicing,Healthcare,Technology Investments,Customer Growth,Operational Efficiency",UMBF_transcript_2024_Q2__sec_049__chunk_0000 | UMBF_10_k_UMBF_10-K_2024_Q4__sec_038__chunk_0045 | UMBF_10_k_UMBF_10-K_2023_Q4__sec_035__chunk_0026,4,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
USB,Us Bancorp \De\,"Us Bancorp (USB) is investing heavily in digital capabilities and AI, which is expected to improve productivity and expense management. USB is committed to meaningful positive operating leverage, with revenue growth expected to drive this. USB is also focused on implementing a build-to-order process, which may differ from long-term agreements signed in 2021. USB's governance structure includes oversight of technology risk, cybersecurity, and emerging technologies, with a Cybersecurity and Technology Subcommittee overseeing AI and Machine Learning.",1.0,"AI,expense management,build-to-order process,technology risk,cybersecurity,governance","{'structured_ref': 'USB_def_14a_USB_DEF14A_2025_Q2__sec_091__chunk_0002', 'structured_ref_type': 'structured_ref', 'structured_ref_id': 'USB_def_14a_USB_DEF14A_2025_Q2__sec_091__chunk_0002'}",6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
VLY,Valley National Bancorp,"Valley National Bancorp (VLY) says that the financial services industry is undergoing rapid technological change, with the use of artificial intelligence (AI) becoming increasingly important. The bank acknowledges that AI can provide efficiency and better customer service, but also notes the risks associated with its use, including potential for technology failure, data privacy concerns, and regulatory compliance issues. The bank emphasizes the importance of responsible AI implementation and the need for adequate governance and oversight to mitigate these risks.",1.0,"AI use in banking,Regulatory and legal considerations,Customer service and efficiency,Risk management and governance",VLY_10_k_VLY_10-K_2024_Q4__sec_015__chunk_0044 | VLY_10_k_VLY_10-K_2024_Q4__sec_015__chunk_0045 | VLY_10_k_VLY_10-K_2024_Q4__sec_015__chunk_0088 | VLY_transcript_2024_Q3__sec_059__chunk_0000 | VLY_10_k_VLY_10-K_2024_Q4__sec_015__chunk_0090,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
WAL,Western Alliance Bancorporation,"needs right now, and they're able to do that much more accurately. So, I think it'll get better over time as the automation continues to come online, but definitely some notable improvements from the store team this quarter. Operator Our next question is from the line of Corey Tarlowe with Jefferies. Please proceed with your question. Corey Tarlowe -- Jefferies -- Analyst Good morning and thank you for taking my question. I wanted to double-click on technology, and you talk about Walmart being a",0.2,,WAL_transcript_2024_Q4__sec_003__chunk_0022 | WAL_transcript_2024_Q2__sec_002__chunk_0003 | WAL_transcript_2025_Q3__sec_002__chunk_0006,6,8,20251231,92735703,77639392,957307,Qwen/Qwen2.5-1.5B-Instruct,mps
WBS,Webster Financial Corp,"which Michael has laid out. With that focus, we will constantly look at those priorities to see how the market conditions are evolving, and we will pivot as necessary. But the general kind of flow is, yes, we will continue to invest in the growth of our business because we see tremendous opportunity on a going-forward basis. Operator Our next question comes from Paul Golding from Macquarie Capital. Please go ahead. Your line is open. Paul Golding -- Macquarie Group -- Analyst Thanks so much for",0.2,,WBS_transcript_2024_Q2__sec_003__chunk_0028 | WBS_10_k_WBS_10-K_2024_Q4__sec_016__chunk_0015 | WBS_transcript_2024_Q1__sec_002__chunk_0013,6,8,20251231,83985466,68898748,1027166,Qwen/Qwen2.5-1.5B-Instruct,mps
WFC,Wells Fargo & Company/Mn,"Wells Fargo & Company/Mn (WFC) says that they are using AI to drive efficiency and cost savings, as well as to enhance the quality of the customer experience. They have a significant number of AI use cases across various departments, including marketing, credit decisioning, and information provision. The company is focused on GenAI, which creates something based on public data and their own data. They have a risk appetite and are continuing to streamline and right-size the company, including actions to streamline enterprise risk management programs and enhance discipline to advance work on legacy issues and timely deliverables against regulatory commitments. They have also launched AI-powered virtual assistants and personalized digital approaches to align customers' goals with their money.",1.0,"AI use cases,Efficiency and cost savings,Customer experience,Risk management,Streamlining and right-sizing,AI-powered virtual assistants,Personalized digital approaches",WFC_transcript_2025_Q2__sec_026__chunk_0001 | WFC_transcript_2024_Q2__sec_003__chunk_0026 | WFC_transcript_2025_Q2__sec_026__chunk_0002 | WFC_def_14a_WFC_DEF14A_2024_Q2__sec_018__chunk_0006 | WFC_def_14a_WFC_DEF14A_2024_Q4__sec_021__chunk_0005 | WFC_transcript_2025_Q4__sec_016__chunk_0001,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
WTFC,Wintrust Financial Corp,"AI and generative AI provide to our customers will also create economic benefits to Workday by positively influencing competitive win rates, renewal rates, and are already industry-leading customer satisfaction. We plan to offer most AI capabilities to our customers who opt-in as part of their current product subscription with generous base usage entitlements. We also expect AI to open up new market opportunities with direct monetization that are wholly based on AI technologies, similar to our t",0.2,,WTFC_transcript_2024_Q2__sec_002__chunk_0011 | WTFC_transcript_2024_Q2__sec_002__chunk_0012 | WTFC_transcript_2024_Q4__sec_002__chunk_0008,6,8,20251231,3454109,2923184,44930,Qwen/Qwen2.5-1.5B-Instruct,mps
ZION,"Zions Bancorporation, National Association","Zions Bancorporation (ZION) highlights that they are using AI to reduce expense, improve efficiency, and enhance customer-facing and operational processes. They have implemented AI in areas such as loan spreading, credit presentations, and credit reviews. The company also uses AI for data analysis and false positives in wire transactions and AML/BSA. They have a strategic investment in technology infrastructure to support digital asset management and programmable payments. The use of AI is described as a continuous improvement process with a focus on reducing costs and increasing revenue.",1.0,"AI use in banking,AI for expense reduction,AI for efficiency improvement,AI for customer-facing processes,AI for operational efficiency,AI for data analysis,AI for regulatory compliance,AI for digital asset management,AI for programmable payments",ZION_transcript_2025_Q4__sec_000__chunk_0003 | ZION_transcript_2025_Q2__sec_000__chunk_0003 | ZION_transcript_2025_Q2__sec_025__chunk_0001 | ZION_10_k_ZION_10-K_2023_Q4__sec_038__chunk_0002 | ZION_transcript_2025_Q2__sec_000__chunk_0005,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
